CATEGORY,RUN_ACCESSION,STATUS,FASTQ_MD5_LIST,FASTQ_URL_LIST
10000_RANDOM_1MB,ERR10202188,ACTIVE,"[""1a9e25b7cbf2991d1a112809adec6e72""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/088/ERR10202188/ERR10202188.fastq.gz""]"
10000_RANDOM_1MB,ERR10202199,ACTIVE,"[""ff533a6b3bd43a5807232cbf7ae81a0b""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/099/ERR10202199/ERR10202199.fastq.gz""]"
10000_RANDOM_1MB,ERR10202405,ACTIVE,"[""4f8676cc0956f885617f8f6d58a50ae0""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR10202405/ERR10202405.fastq.gz""]"
10000_RANDOM_1MB,ERR10205374,ACTIVE,"[""956f4bd3b21a860ec8fe9e0b69a25ce9"",""8e839404bed04487cc3c866fde1104c8""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/074/ERR10205374/ERR10205374_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/074/ERR10205374/ERR10205374_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10205616,ACTIVE,"[""5ad44b590d5fd2fb63cb7768b0d993ae"",""f41b931e39f1f6f54abb5fc2a57dafdd""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/016/ERR10205616/ERR10205616_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/016/ERR10205616/ERR10205616_2.fastq.gz""]"
10000_RANDOM_1MB,ERR1020698,ACTIVE,"[""7b87e6785fa5563c0b3c31834abc192a""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1020698/ERR1020698.fastq.gz""]"
10000_RANDOM_1MB,ERR1020704,ACTIVE,"[""e13f66ad60a79e6770f1c05cf00fe82f""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1020704/ERR1020704.fastq.gz""]"
10000_RANDOM_1MB,ERR10208000,ACTIVE,"[""ad527df56260bbbb47f0b23553c2ae68"",""3adf33829a831e127d226df3f0eadb5a""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR10208000/ERR10208000_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR10208000/ERR10208000_2.fastq.gz""]"
10000_RANDOM_1MB,ERR1020833,ACTIVE,"[""736a44e04e1bf02fad1689cff2767ee0""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1020833/ERR1020833.fastq.gz""]"
10000_RANDOM_1MB,ERR1020843,ACTIVE,"[""def9d4f561f72d1e3afe2c4ea63af468""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1020843/ERR1020843.fastq.gz""]"
10000_RANDOM_1MB,ERR1020861,ACTIVE,"[""a08828d52e34f5f2262588ebb887d289""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1020861/ERR1020861.fastq.gz""]"
